-3.39454985       0.00000000      0.500000000    
   1.55781992E-02   1.06536309E-05   1.36775663E-03   1.75600052    
   3.11563984E-02   4.26140723E-05   2.73545552E-03   1.75600052    
   4.67345975E-02   9.58799719E-05   4.10303846E-03   1.75600052    
   6.23127967E-02   1.70449071E-04   5.47044771E-03   1.75600052    
   7.78909922E-02   2.66318209E-04   6.83762552E-03   1.75600052    
   9.34691876E-02   3.83483333E-04   8.20451416E-03   1.75600052    
  0.109047383       5.21939481E-04   9.57105495E-03   1.75600052    
  0.124625579       6.81680802E-04   1.09371906E-02   1.75600052    
  0.140203774       8.62700515E-04   1.23028634E-02   1.75600052    
  0.155781969       1.06499100E-03   1.36680147E-02   1.75600052    
  0.171360165       1.28854369E-03   1.50325876E-02   1.75600052    
  0.186938360       1.53334904E-03   1.63965244E-02   1.75600052    
  0.202516556       1.79939670E-03   1.77597664E-02   1.75600052    
  0.218094751       2.08667549E-03   1.91222560E-02   1.75600052    
  0.233672947       2.39517307E-03   2.04839334E-02   1.75600052    
  0.249251142       2.72487663E-03   2.18447428E-02   1.75600052    
  0.264829338       3.07577197E-03   2.32046265E-02   1.75600052    
  0.280407548       3.44784418E-03   2.45635267E-02   1.75600052    
  0.295985758       3.84107768E-03   2.59213839E-02   1.75600052    
  0.311563969       4.25545545E-03   2.72781420E-02   1.75600052    
  0.327142179       4.69096005E-03   2.86337417E-02   1.75600052    
  0.342720389       5.14757307E-03   2.99881250E-02   1.75600052    
  0.358298600       5.62527543E-03   3.13412361E-02   1.75600052    
  0.373876810       6.12404617E-03   3.26930135E-02   1.75600052    
  0.389455020       6.64386479E-03   3.40434015E-02   1.75600052    
  0.405033231       7.18470849E-03   3.53923440E-02   1.75600052    
  0.420611441       7.74655491E-03   3.67397815E-02   1.75600052    
  0.436189651       8.32937937E-03   3.80856544E-02   1.75600052    
  0.451767862       8.93315766E-03   3.94299068E-02   1.75600052    
  0.467346072       9.55786463E-03   4.07724828E-02   1.75600052    
  0.482924283       1.02034723E-02   4.21133190E-02   1.75600052    
  0.498502493       1.08699547E-02   4.34523635E-02   1.75600052    
  0.514080703       1.15572819E-02   4.47895527E-02   1.75600052    
  0.529658914       1.22654252E-02   4.61248346E-02   1.75600052    
  0.545237124       1.29943546E-02   4.74581458E-02   1.75600052    
  0.560815334       1.37440395E-02   4.87894304E-02   1.75600052    
  0.576393545       1.45144472E-02   5.01186326E-02   1.75600052    
  0.591971755       1.53055452E-02   5.14456928E-02   1.75600052    
  0.607549965       1.61172990E-02   5.27705550E-02   1.75600052    
  0.623128176       1.69496741E-02   5.40931597E-02   1.75600052    
  0.638706386       1.78026352E-02   5.54134473E-02   1.75600052    
  0.654284596       1.86761450E-02   5.67313619E-02   1.75600052    
  0.669862807       1.95701662E-02   5.80468439E-02   1.75600052    
  0.685441017       2.04846617E-02   5.93598373E-02   1.75600052    
  0.701019228       2.14195922E-02   6.06702827E-02   1.75600052    
  0.716597438       2.23749168E-02   6.19781241E-02   1.75600052    
  0.732175648       2.33505946E-02   6.32833019E-02   1.75600052    
  0.747753859       2.43465826E-02   6.45857602E-02   1.75600052    
  0.763332069       2.53628399E-02   6.58854395E-02   1.75600052    
  0.778910279       2.63993219E-02   6.71822801E-02   1.75600052    
  0.794488490       2.74559837E-02   6.84762299E-02   1.75600052    
  0.810066700       2.85327788E-02   6.97672218E-02   1.75600052    
  0.825644910       2.96296626E-02   7.10552037E-02   1.75600052    
  0.841223121       3.07465866E-02   7.23401234E-02   1.75600052    
  0.856801331       3.18835042E-02   7.36219138E-02   1.75600052    
  0.872379541       3.30403633E-02   7.49005228E-02   1.75600052    
  0.887957752       3.42171155E-02   7.61758909E-02   1.75600052    
  0.903535962       3.54137123E-02   7.74479583E-02   1.75600052    
  0.919114172       3.66300978E-02   7.87166655E-02   1.75600052    
  0.934692383       3.78662199E-02   7.99819604E-02   1.75600052    
  0.950270593       3.91220264E-02   8.12437832E-02   1.75600052    
  0.965848804       4.03974652E-02   8.25020745E-02   1.75600052    
  0.981427014       4.16924767E-02   8.37567747E-02   1.75600052    
  0.997005224       4.30070050E-02   8.50078240E-02   1.75600052    
   1.01258337       4.43409942E-02   8.62551704E-02   1.75600052    
   1.02816153       4.56943847E-02   8.74987543E-02   1.75600052    
   1.04373968       4.70671207E-02   8.87385160E-02   1.75600052    
   1.05931783       4.84591387E-02   8.99744034E-02   1.75600052    
   1.07489598       4.98703793E-02   9.12063494E-02   1.75600052    
   1.09047413       5.13007790E-02   9.24343020E-02   1.75600052    
   1.10605228       5.27502783E-02   9.36582014E-02   1.75600052    
   1.12163043       5.42188101E-02   9.48779956E-02   1.75600052    
   1.13720858       5.57063110E-02   9.60936174E-02   1.75600052    
   1.15278673       5.72127178E-02   9.73050147E-02   1.75600052    
   1.16836488       5.87379634E-02   9.85121280E-02   1.75600052    
   1.18394303       6.02819808E-02   9.97148976E-02   1.75600052    
   1.19952118       6.18446991E-02  0.100913271       1.75600052    
   1.21509933       6.34260550E-02  0.102107190       1.75600052    
   1.23067749       6.50259703E-02  0.103296593       1.75600052    
   1.24625564       6.66443780E-02  0.104481421       1.75600052    
   1.26183379       6.82812110E-02  0.105661616       1.75600052    
   1.27741194       6.99363947E-02  0.106837124       1.75600052    
   1.29299009       7.16098472E-02  0.108007886       1.75600052    
   1.30856824       7.33015016E-02  0.109173842       1.75600052    
   1.32414639       7.50112832E-02  0.110334933       1.75600052    
   1.33972454       7.67391175E-02  0.111491106       1.75600052    
   1.35530269       7.84849226E-02  0.112642303       1.75600052    
   1.37088084       8.02486241E-02  0.113788463       1.75600052    
   1.38645899       8.20301399E-02  0.114929527       1.75600052    
   1.40203714       8.38293880E-02  0.116065435       1.75600052    
   1.41761529       8.56462941E-02  0.117196135       1.75600052    
   1.43319345       8.74807686E-02  0.118321568       1.75600052    
   1.44877160       8.93327370E-02  0.119441673       1.75600052    
   1.46434975       9.12021101E-02  0.120556399       1.75600052    
   1.47992790       9.30888057E-02  0.121665679       1.75600052    
   1.49550605       9.49927419E-02  0.122769460       1.75600052    
   1.51108420       9.69138294E-02  0.123867683       1.75600052    
   1.52666235       9.88519862E-02  0.124960296       1.75600052    
   1.54224050      0.100807115      0.126047239       1.75600052    
   1.55781865      0.102779135      0.127128437       1.75600052    
   1.57339680      0.104767948      0.128203854       1.75600052    
   1.58897495      0.106773473      0.129273430       1.75600052    
   1.60455310      0.108795613      0.130337089       1.75600052    
   1.62013125      0.110834278      0.131394789       1.75600052    
   1.63570940      0.112889372      0.132446468       1.75600052    
   1.65128756      0.114960805      0.133492067       1.75600052    
   1.66686571      0.117048472      0.134531528       1.75600052    
   1.68244386      0.119152285      0.135564804       1.75600052    
   1.69802201      0.121272147      0.136591822       1.75600052    
   1.71360016      0.123407960      0.137612537       1.75600052    
   1.72917831      0.125559628      0.138626873       1.75600052    
   1.74475646      0.127727047      0.139634788       1.75600052    
   1.76033461      0.129910111      0.140636221       1.75600052    
   1.77591276      0.132108733      0.141631112       1.75600052    
   1.79149091      0.134322792      0.142619401       1.75600052    
   1.80706906      0.136552200      0.143601030       1.75600052    
   1.82264721      0.138796851      0.144575953       1.75600052    
   1.83822536      0.141056627      0.145544097       1.75600052    
   1.85380352      0.143331438      0.146505415       1.75600052    
   1.86938167      0.145621166      0.147459850       1.75600052    
   1.88495982      0.147925720      0.148407325       1.75600052    
   1.90053797      0.150244966      0.149347797       1.75600052    
   1.91611612      0.152578816      0.150281206       1.75600052    
   1.93169427      0.154927149      0.151207507       1.75600052    
   1.94727242      0.157289863      0.152126625       1.75600052    
   1.96285057      0.159666836      0.153038502       1.75600052    
   1.97842872      0.162057951      0.153943092       1.75600052    
   1.99400687      0.164463103      0.154840320       1.75600052    
   2.00958514      0.166882172      0.155730143       1.75600052    
   2.02516341      0.169315055      0.156612501       1.75600052    
   2.04074168      0.171761617      0.157487333       1.75600052    
   2.05631995      0.174221754      0.158354580       1.75600052    
   2.07189822      0.176695332      0.159214184       1.75600052    
   2.08747649      0.179182246      0.160066083       1.75600052    
   2.10305476      0.181682378      0.160910234       1.75600052    
   2.11863303      0.184195593      0.161746562       1.75600052    
   2.13421130      0.186721772      0.162575021       1.75600052    
   2.14978957      0.189260796      0.163395554       1.75600052    
   2.16536784      0.191812545      0.164208099       1.75600052    
   2.18094611      0.194376886      0.165012598       1.75600052    
   2.19652438      0.196953699      0.165808991       1.75600052    
   2.21210265      0.199542850      0.166597217       1.75600052    
   2.22768092      0.202144220      0.167377219       1.75600052    
   2.24325919      0.204757676      0.168148950       1.75600052    
   2.25883746      0.207383096      0.168912336       1.75600052    
   2.27441573      0.210020334      0.169667333       1.75600052    
   2.28999400      0.212669268      0.170413882       1.75600052    
   2.30557227      0.215329766      0.171151921       1.75600052    
   2.32115054      0.218001693      0.171881393       1.75600052    
   2.33672881      0.220684916      0.172602236       1.75600052    
   2.35230708      0.223379299      0.173314393       1.75600052    
   2.36788535      0.226084709      0.174017817       1.75600052    
   2.38346362      0.228801012      0.174712434       1.75600052    
   2.39904189      0.231528074      0.175398201       1.75600052    
   2.41462016      0.234265745      0.176075056       1.75600052    
   2.43019843      0.237013891      0.176742926       1.75600052    
   2.44577670      0.239772364      0.177401766       1.75600052    
   2.46135497      0.242541045      0.178051516       1.75600052    
   2.47693324      0.245319769      0.178692132       1.75600052    
   2.49251151      0.248108402      0.179323539       1.75600052    
   2.50808978      0.250906795      0.179945678       1.75600052    
   2.52366805      0.253714800      0.180558503       1.75600052    
   2.53924632      0.256532282      0.181161955       1.75600052    
   2.55482459      0.259359092      0.181755960       1.75600052    
   2.57040286      0.262195081      0.182340473       1.75600052    
   2.58598113      0.265040100      0.182915434       1.75600052    
   2.60155940      0.267894000      0.183480784       1.75600052    
   2.61713767      0.270756632      0.184036463       1.75600052    
   2.63271594      0.273627847      0.184582427       1.75600052    
   2.64829421      0.276507497      0.185118601       1.75600052    
   2.66387248      0.279395431      0.185644940       1.75600052    
   2.67945075      0.282291472      0.186161384       1.75600052    
   2.69502902      0.285195500      0.186667860       1.75600052    
   2.71060729      0.288107336      0.187164322       1.75600052    
   2.72618556      0.291026831      0.187650710       1.75600052    
   2.74176383      0.293953806      0.188126966       1.75600052    
   2.75734210      0.296888143      0.188593045       1.75600052    
   2.77292037      0.299829632      0.189048871       1.75600052    
   2.78849864      0.302778155      0.189494401       1.75600052    
   2.80407691      0.305733532      0.189929560       1.75600052    
   2.81965518      0.308695614      0.190354303       1.75600052    
   2.83523345      0.311664224      0.190768570       1.75600052    
   2.85081172      0.314639211      0.191172302       1.75600052    
   2.86638999      0.317620397      0.191565439       1.75600052    
   2.88196826      0.320607632      0.191947922       1.75600052    
   2.89754653      0.323600739      0.192319691       1.75600052    
   2.91312480      0.326599568      0.192680702       1.75600052    
   2.92870307      0.329603940      0.193030879       1.75600052    
   2.94428134      0.332613677      0.193370178       1.75600052    
   2.95985961      0.335628599      0.193698525       1.75600052    
   2.97543788      0.338648558      0.194015875       1.75600052    
   2.99101615      0.341673374      0.194322169       1.75600052    
   3.00659442      0.344702870      0.194617346       1.75600052    
   3.02217269      0.347736895      0.194901362       1.75600052    
   3.03775096      0.350775242      0.195174143       1.75600052    
   3.05332923      0.353817761      0.195435628       1.75600052    
   3.06890750      0.356864274      0.195685774       1.75600052    
   3.08448577      0.359914571      0.195924520       1.75600052    
   3.10006404      0.362968504      0.196151793       1.75600052    
   3.11564231      0.366025895      0.196367547       1.75600052    
   3.13122058      0.369086564      0.196571723       1.75600052    
   3.14679885      0.372150302      0.196764261       1.75600052    
   3.16237712      0.375216961      0.196945116       1.75600052    
   3.17795539      0.378286332      0.197114214       1.75600052    
   3.19353366      0.381358266      0.197271511       1.75600052    
   3.20911193      0.384432554      0.197416931       1.75600052    
   3.22469020      0.387509018      0.197550431       1.75600052    
   3.24026847      0.390587449      0.197671950       1.75600052    
   3.25584674      0.393667698      0.197781429       1.75600052    
   3.27142501      0.396749556      0.197878808       1.75600052    
   3.28700328      0.399832845      0.197964028       1.75600052    
   3.30258155      0.402917355      0.198037028       1.75600052    
   3.31815982      0.406002909      0.198097765       1.75600052    
   3.33373809      0.409089297      0.198146164       1.75600052    
   3.34931636      0.412176341      0.198182181       1.75600052    
   3.36489463      0.415263861      0.198205739       1.75600052    
   3.38047290      0.418351650      0.198216796       1.75600052    
   3.39605117      0.421439528      0.198215291       1.75600052    
   3.41162944      0.424527258      0.198201165       1.75600052    
   3.42720771      0.427614689      0.198174372       1.75600052    
   3.44278598      0.430701584      0.198134840       1.75600052    
   3.45836425      0.433787763      0.198082507       1.75600052    
   3.47394252      0.436873049      0.198017329       1.75600052    
   3.48952079      0.439957201      0.197939247       1.75600052    
   3.50509906      0.443040043      0.197848186       1.75600052    
   3.52067733      0.446121365      0.197744101       1.75600052    
   3.53625560      0.449200958      0.197626933       1.75600052    
   3.55183387      0.452278644      0.197496623       1.75600052    
   3.56741214      0.455354184      0.197353125       1.75600052    
   3.58299041      0.458427399      0.197196364       1.75600052    
   3.59856868      0.461498052      0.197026283       1.75600052    
   3.61414695      0.464565963      0.196842834       1.75600052    
   3.62972522      0.467630893      0.196645960       1.75600052    
   3.64530349      0.470692664      0.196435601       1.75600052    
   3.66088176      0.473751038      0.196211681       1.75600052    
   3.67646003      0.476805836      0.195974171       1.75600052    
   3.69203830      0.479856819      0.195722997       1.75600052    
   3.70761657      0.482903779      0.195458099       1.75600052    
   3.72319484      0.485946506      0.195179418       1.75600052    
   3.73877311      0.488984793      0.194886908       1.75600052    
   3.75435138      0.492018402      0.194580510       1.75600052    
   3.76992965      0.495047152      0.194260150       1.75600052    
   3.78550792      0.498070776      0.193925783       1.75600052    
   3.80108619      0.501089096      0.193577349       1.75600052    
   3.81666446      0.504101872      0.193214789       1.75600052    
   3.83224273      0.507108867      0.192838043       1.75600052    
   3.84782100      0.510109901      0.192447066       1.75600052    
   3.86339927      0.513104737      0.192041785       1.75600052    
   3.87897754      0.516093135      0.191622153       1.75600052    
   3.89455581      0.519074917      0.191188097       1.75600052    
   3.91013408      0.522049785      0.190739572       1.75600052    
   3.92571235      0.525017560      0.190276518       1.75600052    
   3.94129062      0.527978003      0.189798877       1.75600052    
   3.95686889      0.530930936      0.189306587       1.75600052    
   3.97244716      0.533876061      0.188799590       1.75600052    
   3.98802543      0.536813200      0.188277841       1.75600052    
   4.00360346      0.539742053      0.187741265       1.75600052    
   4.01918173      0.542662442      0.187189817       1.75600052    
   4.03476000      0.545574129      0.186623424       1.75600052    
   4.05033827      0.548476875      0.186042041       1.75600052    
   4.06591654      0.551370442      0.185445607       1.75600052    
   4.08149481      0.554254591      0.184834063       1.75600052    
   4.09707308      0.557129085      0.184207350       1.75600052    
   4.11265135      0.559993744      0.183565423       1.75600052    
   4.12822962      0.562848270      0.182908207       1.75600052    
   4.14380789      0.565692425      0.182235643       1.75600052    
   4.15938616      0.568525970      0.181547686       1.75600052    
   4.17496443      0.571348727      0.180844277       1.75600052    
   4.19054270      0.574160397      0.180125356       1.75600052    
   4.20612097      0.576960742      0.179390863       1.75600052    
   4.22169924      0.579749525      0.178640738       1.75600052    
   4.23727751      0.582526505      0.177874923       1.75600052    
   4.25285578      0.585291386      0.177093357       1.75600052    
   4.26843405      0.588043988      0.176295996       1.75600052    
   4.28401232      0.590784073      0.175482765       1.75600052    
   4.29959059      0.593511343      0.174653620       1.75600052    
   4.31516886      0.596225560      0.173808500       1.75600052    
   4.33074713      0.598926485      0.172947332       1.75600052    
   4.34632540      0.601613879      0.172070071       1.75600052    
   4.36190367      0.604287505      0.171176672       1.75600052    
   4.37748194      0.606947064      0.170267060       1.75600052    
   4.39306021      0.609592319      0.169341177       1.75600052    
   4.40863848      0.612223029      0.168398976       1.75600052    
   4.42421675      0.614838958      0.167440385       1.75600052    
   4.43979502      0.617439806      0.166465357       1.75600052    
   4.45537329      0.620025337      0.165473834       1.75600052    
   4.47095156      0.622595310      0.164465755       1.75600052    
   4.48652983      0.625149429      0.163441062       1.75600052    
   4.50210810      0.627687454      0.162399694       1.75600052    
   4.51768637      0.630209148      0.161341593       1.75600052    
   4.53326464      0.632714212      0.160266697       1.75600052    
   4.54884291      0.635202408      0.159174964       1.75600052    
   4.56442118      0.637673438      0.158066332       1.75600052    
   4.57999945      0.640127063      0.156940728       1.75600052    
   4.59557772      0.642563045      0.155798107       1.75600052    
   4.61115599      0.644981086      0.154638410       1.75600052    
   4.62673426      0.647380948      0.153461576       1.75600052    
   4.64231253      0.649762332      0.152267545       1.75600052    
   4.65789080      0.652125001      0.151056275       1.75600052    
   4.67346907      0.654468656      0.149827689       1.75600052    
   4.68904734      0.656792998      0.148581743       1.75600052    
   4.70462561      0.659097791      0.147318363       1.75600052    
   4.72020388      0.661382794      0.146037504       1.75600052    
   4.73578215      0.663647711      0.144739106       1.75600052    
   4.75136042      0.665892243      0.143423110       1.75600052    
   4.76693869      0.668116152      0.142089456       1.75600052    
   4.78251696      0.670319140      0.140738085       1.75600052    
   4.79809523      0.672500968      0.139368936       1.75600052    
   4.81367350      0.674661279      0.137981966       1.75600052    
   4.82925177      0.676799893      0.136577100       1.75600052    
   4.84483004      0.678916454      0.135154292       1.75600052    
   4.86040831      0.681010723      0.133713484       1.75600052    
   4.87598658      0.683082402      0.132254615       1.75600052    
   4.89156485      0.685131192      0.130777627       1.75600052    
   4.90714312      0.687156856      0.129282460       1.75600052    
   4.92272139      0.689159095      0.127769053       1.75600052    
   4.93829966      0.691137612      0.126237363       1.75600052    
   4.95387793      0.693092108      0.124687314       1.75600052    
   4.96945620      0.695022345      0.123118855       1.75600052    
   4.98503447      0.696927965      0.121531934       1.75600052    
   5.00061274      0.698808730      0.119926482       1.75600052    
   5.01619101      0.700664341      0.118302450       1.75600052    
   5.03176928      0.702494502      0.116659775       1.75600052    
   5.04734755      0.704298913      0.114998408       1.75600052    
   5.06292582      0.706077337      0.113318279       1.75600052    
   5.07850409      0.707829416      0.111619338       1.75600052    
   5.09408236      0.709554911      0.109901525       1.75600052    
   5.10966063      0.711253464      0.108164787       1.75600052    
   5.12523890      0.712924838      0.106409058       1.75600052    
   5.14081717      0.714568675      0.104634285       1.75600052    
   5.15639544      0.716184735      0.102840409       1.75600052    
   5.17197371      0.717772722      0.101027369       1.75600052    
   5.18755198      0.719332278       9.91951078E-02   1.75600052    
   5.20313025      0.720863163       9.73435715E-02   1.75600052    
   5.21870852      0.722365081       9.54727009E-02   1.75600052    
   5.23428679      0.723837674       9.35824364E-02   1.75600052    
   5.24986506      0.725280643       9.16727185E-02   1.75600052    
   5.26544333      0.726693749       8.97434950E-02   1.75600052    
   5.28102160      0.728076637       8.77947062E-02   1.75600052    
   5.29659986      0.729429007       8.58262926E-02   1.75600052    
   5.31217813      0.730750561       8.38381946E-02   1.75600052    
   5.32775640      0.732041001       8.18303525E-02   1.75600052    
   5.34333467      0.733300030       7.98027143E-02   1.75600052    
   5.35891294      0.734527290       7.77552202E-02   1.75600052    
   5.37449121      0.735722482       7.56878108E-02   1.75600052    
   5.39006948      0.736885309       7.36004338E-02   1.75600052    
   5.40564775      0.738015473       7.14930221E-02   1.75600052    
   5.42122602      0.739112675       6.93655238E-02   1.75600052    
   5.43680429      0.740176558       6.72178790E-02   1.75600052    
   5.45238256      0.741206825       6.50500357E-02   1.75600052    
   5.46796083      0.742203176       6.28619269E-02   1.75600052    
   5.48353910      0.743165255       6.06535003E-02   1.75600052    
   5.49911737      0.744092822       5.84246963E-02   1.75600052    
   5.51469564      0.744985461       5.61754592E-02   1.75600052    
   5.53027391      0.745842934       5.39057292E-02   1.75600052    
   5.54585218      0.746664882       5.16154468E-02   1.75600052    
   5.56143045      0.747451007       4.93045561E-02   1.75600052    
   5.57700872      0.748200953       4.69729975E-02   1.75600052    
   5.59258699      0.748914421       4.46207151E-02   1.75600052    
   5.60816526      0.749591053       4.22476493E-02   1.75600052    
   5.62374353      0.750230551       3.98537442E-02   1.75600052    
   5.63932180      0.750832617       3.74389403E-02   1.75600052    
   5.65490007      0.751396894       3.50031815E-02   1.75600052    
   5.67047834      0.751923084       3.25464085E-02   1.75600052    
   5.68605661      0.752410829       3.00685633E-02   1.75600052    
   5.70163488      0.752859831       2.75695883E-02   1.75600052    
   5.71721315      0.753269732       2.50494257E-02   1.75600052    
