  -20.0000000       0.00000000       0.00000000    
  -19.9960003       2.40967347E-05   1.20475506E-02   1.00000000    
  -19.9920006       9.63738785E-05   2.40902044E-02   1.00000000    
  -19.9880009       2.16811837E-04   3.61279584E-02   1.00000000    
  -19.9840012       3.85391002E-04   4.81608175E-02   1.00000000    
  -19.9800014       6.02091837E-04   6.01887777E-02   1.00000000    
  -19.9760017       8.66894727E-04   7.22118467E-02   1.00000000    
  -19.9720020       1.17978011E-03   8.42300206E-02   1.00000000    
  -19.9680023       1.54072838E-03   9.62432995E-02   1.00000000    
  -19.9640026       1.94971997E-03  0.108251691       1.00000000    
  -19.9600029       2.40673544E-03  0.120255187       1.00000000    
  -19.9560032       2.91175512E-03  0.132253796       1.00000000    
  -19.9520035       3.46475933E-03  0.144247517       1.00000000    
  -19.9480038       4.06572875E-03  0.156236351       1.00000000    
  -19.9440041       4.71464358E-03  0.168220297       1.00000000    
  -19.9400043       5.41148428E-03  0.180199355       1.00000000    
  -19.9360046       6.15623174E-03  0.192173526       1.00000000    
  -19.9320049       6.94886595E-03  0.204142809       1.00000000    
  -19.9280052       7.78936781E-03  0.216107219       1.00000000    
  -19.9240055       8.67771730E-03  0.228066742       1.00000000    
  -19.9200058       9.61389486E-03  0.240021393       1.00000000    
  -19.9160061       1.05978819E-02  0.251971155       1.00000000    
  -19.9120064       1.16296578E-02  0.263916045       1.00000000    
  -19.9080067       1.27092041E-02  0.275856048       1.00000000    
  -19.9040070       1.38365002E-02  0.287791193       1.00000000    
  -19.9000072       1.50115276E-02  0.299721450       1.00000000    
  -19.8960075       1.62342656E-02  0.311646819       1.00000000    
  -19.8920078       1.75046958E-02  0.323567331       1.00000000    
  -19.8880081       1.88227985E-02  0.335482955       1.00000000    
  -19.8840084       2.01885533E-02  0.347393721       1.00000000    
  -19.8800087       2.16019414E-02  0.359299600       1.00000000    
  -19.8760090       2.30629444E-02  0.371200621       1.00000000    
  -19.8720093       2.45715417E-02  0.383096755       1.00000000    
  -19.8680096       2.61277128E-02  0.394988030       1.00000000    
  -19.8640099       2.77314391E-02  0.406874448       1.00000000    
  -19.8600101       2.93827020E-02  0.418756008       1.00000000    
  -19.8560104       3.10814809E-02  0.430632681       1.00000000    
  -19.8520107       3.28277573E-02  0.442504495       1.00000000    
  -19.8480110       3.46215107E-02  0.454371452       1.00000000    
  -19.8440113       3.64627242E-02  0.466233552       1.00000000    
